                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2845,                 8.1625,                 2.1149,                      0,                      0,                      0,                      0,                 4.8642,                 9.0884,                 1.7562,                0.00012,                0.00012,                0.00012
                      2,                 3.2179,                 4.5709,                 1.1925,                0.00667,                0.26667,                0.00529,                 0.0011,                 2.4199,                 4.0375,                0.98283,             0.00024713,             0.00024713,             0.00024713
                      3,                 2.1039,                 2.4479,                0.88934,                0.02333,                0.93333,                0.04469,                0.01529,                 1.7418,                 3.3445,                0.91916,              0.0003604,              0.0003604,              0.0003604
                      4,                 1.8593,                 1.6807,                0.84913,                  0.025,                      1,                0.05176,                0.02603,                  1.681,                 3.1235,                0.92103,             0.00045981,             0.00045981,             0.00045981
                      5,                 1.7718,                 1.4732,                0.84033,                0.02333,                0.93333,                0.06686,                0.04001,                 1.4935,                 3.0505,                0.90098,             0.00054536,             0.00054536,             0.00054536
                      6,                 1.8146,                 1.3311,                0.83164,                0.18376,                0.26667,                0.22396,                0.13576,                 1.4166,                 2.8238,                0.88977,             0.00061705,             0.00061705,             0.00061705
                      7,                 1.6377,                 1.1858,                0.82675,                0.21741,                0.46667,                0.20902,                0.11294,                 1.4419,                 3.0085,                0.88771,             0.00067488,             0.00067488,             0.00067488
                      8,                 1.6076,                 1.1162,                0.80945,                0.18546,                0.31921,                0.20334,                0.11171,                 1.4913,                 6.8196,                0.88757,             0.00071885,             0.00071885,             0.00071885
                      9,                 1.5171,                 1.0601,                0.82337,                 0.5159,                0.73333,                0.57692,                 0.4003,                  1.162,                  2.178,                0.86576,             0.00074896,             0.00074896,             0.00074896
                     10,                 1.4687,                0.99536,                0.81223,                0.37627,                    0.8,                0.37523,                0.21369,                 1.3707,                 2.0866,                 0.8867,             0.00076521,             0.00076521,             0.00076521
                     11,                 1.3767,                 1.0875,                0.80921,                0.56017,                0.86667,                0.62238,                0.39168,                 1.2542,                 1.8226,                0.88049,              0.0007676,              0.0007676,              0.0007676
                     12,                  1.399,                 1.0712,                0.82629,                0.57207,                 0.8022,                0.61936,                0.35952,                 1.3426,                 2.0192,                0.88818,             0.00075613,             0.00075613,             0.00075613
                     13,                 1.2713,                0.93684,                0.81273,                0.56129,                 0.9384,                0.65237,                0.42317,                 1.2328,                 1.7783,                 0.8784,              0.0007308,              0.0007308,              0.0007308
                     14,                 1.2586,                0.94051,                0.80422,                 0.5829,                0.93174,                 0.6527,                0.40013,                 1.4163,                 1.3697,                0.88321,             0.00069161,             0.00069161,             0.00069161
                     15,                 1.2179,                0.91671,                0.80878,                0.58084,                0.92417,                0.65304,                0.43502,                 1.1739,                 1.2837,                0.87583,               0.000614,               0.000614,               0.000614
                     16,                 1.2367,                0.89431,                0.82619,                0.56956,                      1,                0.72509,                0.45367,                 1.2244,                 1.3306,                0.88615,               0.000614,               0.000614,               0.000614
                     17,                 1.2341,                0.97973,                0.81428,                0.57003,                      1,                0.71181,                0.46849,                 1.1883,                 1.2392,                0.87862,               0.000515,               0.000515,               0.000515
                     18,                 1.4127,                 1.0175,                 0.8277,                0.58311,                      1,                0.71062,                0.47675,                 1.1615,                  1.245,                0.87407,               0.000416,               0.000416,               0.000416
                     19,                 1.1288,                0.84398,                0.80029,                0.57222,                      1,                 0.6937,                0.45748,                 1.1777,                  1.294,                0.87652,               0.000317,               0.000317,               0.000317
                     20,                 1.1209,                0.82057,                0.80335,                0.57578,                      1,                0.70883,                0.46473,                 1.1953,                 1.2566,                0.87789,               0.000218,               0.000218,               0.000218
