                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2845,                 8.1625,                 2.1149,                      0,                      0,                      0,                      0,                 4.8642,                 9.0884,                 1.7562,                0.00012,                0.00012,                0.00012
                      2,                 3.2029,                 4.5396,                 1.1871,                0.00833,                0.33333,                0.00602,                0.00135,                  2.271,                 3.9625,                0.96348,             0.00025743,             0.00025743,             0.00025743
                      3,                 2.0728,                 2.3721,                0.88237,                0.02167,                0.86667,                0.04238,                0.01812,                  1.845,                 3.3501,                0.93438,             0.00039208,             0.00039208,             0.00039208
                      4,                 1.8198,                 1.6651,                0.84682,                  0.025,                      1,                0.05059,                0.02229,                 1.7661,                 3.1026,                 0.9183,             0.00052396,             0.00052396,             0.00052396
                      5,                 1.8013,                 1.4985,                0.84389,                0.02333,                0.93333,                0.05936,                0.03845,                  1.369,                 3.0126,                0.89044,             0.00065307,             0.00065307,             0.00065307
                      6,                 1.8146,                 1.3052,                 0.8354,                0.02333,                0.93333,                0.16537,                0.10623,                 1.2851,                 3.3551,                0.88132,             0.00077941,             0.00077941,             0.00077941
                      7,                 1.5936,                 1.1698,                 0.8223,                  0.025,                      1,                 0.4056,                0.24981,                 1.3585,                 2.6614,                0.87528,             0.00090298,             0.00090298,             0.00090298
                      8,                 1.4947,                 1.0484,                0.80102,                0.16468,                0.18473,                0.24808,                0.16323,                 1.2239,                 5.7364,                0.86457,              0.0010238,              0.0010238,              0.0010238
                      9,                 1.4921,                 1.0578,                0.82644,                0.28307,                0.86667,                0.57494,                0.34543,                 1.2187,                 2.3402,                0.87193,              0.0011418,              0.0011418,              0.0011418
                     10,                 1.4871,                 1.0053,                0.81408,                0.58624,                 0.6615,                0.61994,                0.37914,                 1.3225,                 2.0438,                0.87858,               0.001257,               0.001257,               0.001257
                     11,                 1.4888,                0.95369,                0.80924,                0.37099,                0.86509,                0.40208,                0.26964,                 1.1857,                 7.8331,                0.87171,              0.0013695,              0.0013695,              0.0013695
                     12,                 1.4604,                0.91918,                0.81473,                0.57839,                    0.8,                0.67795,                0.40674,                 1.3958,                  1.828,                0.88893,              0.0014792,              0.0014792,              0.0014792
                     13,                 1.4595,                0.92553,                0.81393,                0.57837,                0.91508,                0.64677,                0.41101,                 1.3423,                 1.7127,                0.87893,              0.0015862,              0.0015862,              0.0015862
                     14,                 1.5206,                0.90523,                 0.8103,                0.42765,                0.86667,                0.48754,                0.33625,                 1.1255,                 1.7816,                0.87194,              0.0016903,              0.0016903,              0.0016903
                     15,                 1.4308,                 1.0008,                0.82501,                0.59691,                0.98765,                0.68336,                0.40129,                 1.4061,                 1.3497,                0.89013,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.4003,                0.85169,                0.81195,                0.54006,                0.93333,                0.66111,                0.45565,                  1.265,                  1.255,                 0.8723,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.4212,                0.83385,                0.81981,                0.54908,                      1,                0.68225,                0.50622,                  1.027,                 1.1667,                0.86057,               0.001703,               0.001703,               0.001703
                     18,                 1.3305,                0.80848,                0.81461,                0.59232,                      1,                0.65717,                0.46258,                 1.1718,                  1.187,                0.87074,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.2314,                0.76232,                0.80683,                0.57239,                      1,                0.68738,                0.47418,                 1.2078,                 1.1738,                0.87756,              0.0016634,              0.0016634,              0.0016634
                     20,                  1.223,                0.74258,                0.79529,                0.57264,                      1,                0.70755,                0.48833,                 1.2023,                  1.223,                0.88459,              0.0016436,              0.0016436,              0.0016436
                     21,                  1.237,                 0.7206,                0.81471,                0.57075,                      1,                 0.7544,                0.46316,                 1.3052,                 1.1975,                0.89499,              0.0016238,              0.0016238,              0.0016238
